time,hydrophone_1,hydrophone_2,hydrophone_3,hydrophone_4,hydrophone_5
0.0,0.005156294331638982,0.01472674471843444,0.00038312223753640944,0.01578262411035088,-0.0035148162324089714
1.0e-6,0.007377842591905858,0.014214327874977643,-0.0011121271684583853,0.017192547653656704,-0.002408002662204822
2.0e-6,0.011433532826176453,0.012321007920541919,-0.0019459188513389586,0.017446323731051618,-0.0004911225287537904
3.0e-6,0.01682824087685622,0.0094464513726202,-0.0022801418924765513,0.01685273193772255,0.0017328414333699876
4.0e-6,0.022701834183221883,0.005896287075867061,-0.0014824234033898318,0.015492771123536506,0.004294247346274222
5.0e-6,0.028076300686341038,0.0014839298605386832,-1.154490044682246e-6,0.01308275569171057,0.007286046308191373
6.0e-6,0.03267717188633444,-0.003065007676380894,0.001702145435435308,0.009904133645893211,0.011000382005412356
7.0e-6,0.03578345498410454,-0.0069936601928077356,0.003489325320749189,0.006324560797906726,0.015114731821978113
8.0e-6,0.037034162992172506,-0.010672437428892026,0.0048020429104493785,0.002896741121090889,0.018996835634583032
9.0e-6,0.036306069919626496,-0.013775723954867437,0.005790029392085402,0.0004366497325906046,0.02243927748461487
1.0e-5,0.03449324396898087,-0.016469688831963293,0.0065971829234336594,-0.001451938223878303,0.025112416815541737
1.1e-5,0.03189828387195619,-0.01843932389564093,0.006703864947298325,-0.002919040200911802,0.026600072640892942
1.2e-5,0.028740827375160823,-0.019653831332491916,0.005924397580989584,-0.0032063169727228995,0.027066919918282927
1.3e-5,0.0253302236380429,-0.01977636652277176,0.004478576711754258,-0.002516634099464625,0.026454903230775723
1.4e-5,0.022159161996301455,-0.019024972971018784,0.00234295884461492,-0.0010553681254125214,0.025239509416684194
1.5e-5,0.019462167581336745,-0.017778440463805875,-0.0004697323207424227,0.000461330160305717,0.023449217718614385
1.6e-5,0.01752875187819232,-0.01643773529594389,-0.0036825518792988556,0.0015896224936016547,0.021373619787926058
1.7e-5,0.01605173964076897,-0.015309681784061094,-0.006332775415492011,0.0023096253643754166,0.019042037653251263
1.8e-5,0.014847250667342176,-0.014242478553359616,-0.008247057284633085,0.002808619038170184,0.016653541220034436
1.9e-5,0.013951057230354513,-0.01303327559981752,-0.009489509216431201,0.0032789727674061337,0.01483848914861118
2.0e-5,0.012856744629742836,-0.011333736197407091,-0.009617136317228459,0.003312328973632712,0.013731535805450478
2.1e-5,0.01173268890509338,-0.009402534040536316,-0.008556492781406341,0.0028099306233295663,0.013081805585341886
2.2e-5,0.010646048930886075,-0.007610764182310885,-0.006712565389407583,0.0020334303089225843,0.012041181166797057
2.3e-5,0.009948382207504746,-0.00569766048262864,-0.004493764560056269,0.0009980242214930293,0.010217198780980886
2.4e-5,0.009852798173202606,-0.0039022877184487635,-0.002825237079682799,-6.986161374387727e-5,0.00821830057282519
2.5e-5,0.010364814266042008,-0.002458243150218169,-0.001925583179027572,-0.000694309212561892,0.005964938827160029
2.6e-5,0.011452987763478955,-0.0014939776333753978,-0.0015838650010858105,-0.0007789024282857812,0.003553639139838566
2.7e-5,0.012238394902440766,-0.0008213286830426028,-0.0012605410445535724,-0.0005642031852365405,0.001454599084395734
2.8e-5,0.012555086589757503,-0.0005292838903460994,-0.000530809960420644,5.1720535863017546e-5,-0.0003915715508075415
2.9e-5,0.012258853589951688,-0.0005457450501126192,0.0010084699666444996,0.0004789219139377976,-0.0015644868811007366
3.0e-5,0.01146712456230068,-0.0007055357545898107,0.003274692059878336,0.0012377268517598714,-0.002297949619896698
3.1e-5,0.0105121589467704,-0.0009631417061127473,0.0059143953810427185,0.001951824604192354,-0.0030185615024705304
3.2e-5,0.009372911175730728,-0.0012453857193703843,0.00859332992544264,0.0025700337648413957,-0.004081246210304982
3.3e-5,0.00807456662578372,-0.0017927415249567615,0.011433631859278178,0.0031112550967514873,-0.005337497720991356
3.4e-5,0.006684438360793303,-0.0018370336735123876,0.013946665045117695,0.003396593971287693,-0.006309869844158636
3.5e-5,0.005738275988100736,-0.0013705631283642515,0.015902771236930794,0.0030320891262675463,-0.006931501740504047
3.6e-5,0.005163616059305806,-0.00035444641667308933,0.017693521535776583,0.002571658672169744,-0.007325335670180998
3.7e-5,0.004955279880647872,0.0014566792707647253,0.019022030149763704,0.0025079679429050256,-0.006971646872115097
3.8e-5,0.005279699200193712,0.003413674249873544,0.02044479519569862,0.0025595578717350436,-0.006503646711945627
3.9e-5,0.006173071412410985,0.005216688682159432,0.021919061603102155,0.0030906685784205645,-0.006069605920045923
4.0e-5,0.007276715035904856,0.007054547077069857,0.023210778660669007,0.004094338515753207,-0.0055254810158695015
4.1e-5,0.008133791572663024,0.008801779786172241,0.02395165713963763,0.005537232648567072,-0.004926073613521488
4.2e-5,0.008766336218865701,0.009913656507643944,0.023578236901528323,0.007740855317820504,-0.004373942283977566
4.3e-5,0.00898908108256299,0.009856940515967933,0.021971699387496445,0.010369846631159637,-0.003645642364193085
4.4e-5,0.009094202041408353,0.008688995751706634,0.01997953017149386,0.01297861864778736,-0.0031245073492796485
4.5e-5,0.008708138580261184,0.006699784207347565,0.018159044835135307,0.015318860422863644,-0.003034420620867677
4.6e-5,0.007742036171036381,0.0040822259710495,0.01658083437390522,0.01718401688373229,-0.0030090729960587444
4.7e-5,0.006364589463925146,0.001181792451081,0.0156350747077002,0.018838296305852962,-0.003473009398202102
4.8e-5,0.004964119433139814,-0.0017233859532630811,0.01506032713527779,0.01991084533984091,-0.004309586040560022
4.9e-5,0.004097290813567544,-0.004239566464617837,0.015023132476355743,0.020309863013621397,-0.005064967595409941
5.0e-5,0.003653676659237971,-0.006467123880366646,0.01511975818649349,0.020271796208346536,-0.0058454717528740215
5.1e-5,0.003642074710003997,-0.009224858975740028,0.015294621713259512,0.019738864225174513,-0.006380349155862489
5.2e-5,0.003943316224612378,-0.012084797185055412,0.015345356116565739,0.018639061448245505,-0.006717490030610314
5.3e-5,0.0047268928334392325,-0.014479500138136205,0.014750397563471651,0.01740098043404369,-0.006922335074309628
5.4e-5,0.005625949118828966,-0.01627718120248746,0.013310762615215644,0.0160978683162928,-0.007373991481288789
5.5e-5,0.006341990860905716,-0.01759671355685975,0.011499844293206636,0.0152930580418792,-0.007590392313813788
5.6e-5,0.0064762396687375766,-0.018318257035241075,0.009696322514978001,0.014928957915763498,-0.007719728144403372
5.7e-5,0.005911240233717195,-0.018134815250379348,0.007648540724333462,0.01513332619053103,-0.008078694805310893
5.8e-5,0.005195988144459813,-0.017311720017601426,0.005318790272881501,0.01592871497276997,-0.00809772513542627
5.9e-5,0.004163991954524329,-0.01643592415715033,0.002730281127028097,0.017530550655736065,-0.007824838431644924
6.0e-5,0.0029961543895763803,-0.015457540050110387,5.473603335215086e-5,0.020319532549751725,-0.007583172329903732
6.1e-5,0.001370623160256109,-0.014353737502483217,-0.00297266992098362,0.024165225418617518,-0.007362318442243547
6.2e-5,-0.0006742122684889209,-0.012902918215238902,-0.0059987788602677145,0.02915252852984302,-0.007317298130367643
6.3e-5,-0.0028628015241652345,-0.010954221708476593,-0.00877264470852887,0.03466378468712716,-0.007487809746163797
6.4e-5,-0.004821900485766832,-0.009272740707046779,-0.011108613301522135,0.039946926366193646,-0.007560865632710726
6.5e-5,-0.006118725539023529,-0.007623232300096155,-0.01298956378953465,0.044428486441245585,-0.007998774330451501
6.6e-5,-0.0066501468880994655,-0.005728356700454074,-0.014064189177382112,0.047991485203569606,-0.008678188032812038
6.7e-5,-0.007060300302089577,-0.0039975966751825895,-0.014750494627333063,0.049896618646322305,-0.009166826718493191
6.8e-5,-0.007577782399925628,-0.002770196251119901,-0.015158913579974715,0.04995878240293245,-0.008837617884475197
6.9e-5,-0.008136972759366388,-0.00211974418245628,-0.015202836679584046,0.048262560569224955,-0.007601473746021508
7.0e-5,-0.00890460483584626,-0.0017572339671275746,-0.015440877248144526,0.044807594236353936,-0.005979434708298842
7.1e-5,-0.010227749415069742,-0.0018580561331817435,-0.01605502368812366,0.0407432496888999,-0.004357116016342646
7.2e-5,-0.01213698731215546,-0.0026457105193671386,-0.016869384134814466,0.03640454104161286,-0.0029541354450449185
7.3e-5,-0.014316817465178423,-0.00407345698360805,-0.01747654472188481,0.03189391473619203,-0.0017318461691977452
7.4e-5,-0.0164180537881992,-0.005923956695718226,-0.017758599893757974,0.027902148402901658,-0.0009021978065180805
7.5e-5,-0.01842676731498107,-0.0075170964522759485,-0.01749885590529636,0.024770841789528045,-0.0005406632383020464
7.6e-5,-0.01994112213931847,-0.008797531675724505,-0.016991680437531236,0.02205359488092357,-1.46349000642845e-7
7.7e-5,-0.02149930068652718,-0.009699063663514794,-0.015866679876275533,0.019669518215370354,0.0007564598954419282
7.8e-5,-0.02296881780047784,-0.009995776912144975,-0.014070534084674373,0.017392612830332194,0.0018898496040151219
7.9e-5,-0.024334225458996408,-0.00996492839818575,-0.01165099869997239,0.015278856256760598,0.0038367965412054446
8.0e-5,-0.025634363838634315,-0.009422040785384767,-0.008828362605017957,0.0134914578235078,0.00688318252297064
8.1e-5,-0.02692951965407448,-0.008568765099270018,-0.006082934785023484,0.011603802225244333,0.010472715162296744
8.2e-5,-0.02809273555525451,-0.0076516051134967065,-0.003376794240985396,0.009570246594154582,0.014156808263839568
8.3e-5,-0.02883384891528701,-0.006668112047511491,-0.0006840591239148729,0.00737141807495938,0.017366000451161618
8.4e-5,-0.02868393632827579,-0.005461257264020283,0.0018411571398228262,0.0050675025121995725,0.020105361461663487
8.5e-5,-0.02759480248426838,-0.00418001849526026,0.004135820262783019,0.002526405031119203,0.022122939572191275
